id,player,team,opp,pos,salary,proj
15033819,Keenan Allen,LAC,CIN,WR,6400,13.5
15034605,Panthers ,CAR,LV,DST,2500,4.9
15034317,Hunter Henry,LAC,CIN,TE,5300,11.3
15033593,Corey Clement,PHI,WAS,RB,4000,8.7
15034604,Packers ,GB,MIN,DST,2600,5
15033899,Larry Fitzgerald,ARI,SF,WR,4500,9.7
15034321,Rob Gronkowski,TB,NO,TE,4900,10.4
15034323,Mike Gesicki,MIA,NE,TE,4500,9.5
15033883,Steven Sims Jr.,WAS,PHI,WR,4700,10
15033867,Anthony Miller,CHI,DET,WR,5000,10.4
15033559,Kerryon Johnson,DET,CHI,RB,4400,9.3
15033531,Matt Breida,MIA,NE,RB,5000,10.4
15033579,Tevin Coleman,SF,ARI,RB,4200,8.8
15034612,Buccaneers ,TB,NO,DST,2200,3.9
15033895,Preston Williams,MIA,NE,WR,4500,9.4
15033509,James White,NE,MIA,RB,6000,12.3
15033497,Nick Chubb,CLE,BAL,RB,6500,13.2
15033881,Danny Amendola,DET,CHI,WR,4800,9.7
15034475,Robert Tonyan,GB,MIN,TE,2500,5.2
15034423,Mo Alie-Cox,IND,JAX,TE,2600,5.4
15033869,Kendrick Bourne,SF,ARI,WR,5000,10.2
15034611,Browns ,CLE,BAL,DST,2200,3.5
15033615,Chris Thompson,JAX,IND,RB,4000,8
15033967,Justin Watson,TB,NO,WR,3800,7.7
15033537,Tarik Cohen,CHI,DET,RB,4900,9.7
15033925,Bryan Edwards,LV,CAR,WR,4200,8.3
15033909,Laviska Shenault Jr.,JAX,IND,WR,4400,8.6
15033893,Hunter Renfrow,LV,CAR,WR,4500,8.8
15033845,A.J. Green,CIN,LAC,WR,5700,11.1
15034219,Jalen Guyton,LAC,CIN,WR,3000,5.6
15034339,Kyle Rudolph,MIN,GB,TE,3700,7.1
15033545,Sony Michel,NE,MIA,RB,4600,8.8
15034031,Damiere Byrd,NE,MIA,WR,3200,6.1
15034315,Jared Cook,NO,TB,TE,5500,10.6
15033417,Sam Darnold,NYJ,BUF,QB,5500,13.8
15033547,Latavius Murray,NO,TB,RB,4600,8.7
15033879,Cole Beasley,BUF,NYJ,WR,4800,9
15033945,Chris Conley,JAX,IND,WR,4000,7.5
15033535,J.K. Dobbins,BAL,CLE,RB,5000,9.3
15033849,John Brown,BUF,NYJ,WR,5600,10.4
15033949,Marvin Hall,DET,CHI,WR,3900,7
15033933,Marquez Valdes-Scantling,GB,MIN,WR,4100,7.2
15034319,Austin Hooper,CLE,BAL,TE,5100,9.1
15033843,Emmanuel Sanders,NO,TB,WR,5700,10.3
15033517,Le'Veon Bell,NYJ,BUF,RB,5600,10.1
15033529,Jordan Howard,MIA,NE,RB,5100,9
15033951,Jakeem Grant,MIA,NE,WR,3900,6.7
15033941,Scotty Miller,TB,NO,WR,4000,6.9
15034349,Devin Asiasi,NE,MIA,TE,3500,5.8
15033871,Breshad Perriman,NYJ,BUF,WR,4900,8.6
15033973,Keelan Cole,JAX,IND,WR,3800,6.2
15033915,Russell Gage,ATL,SEA,WR,4300,7.2
15033935,Olabisi Johnson,MIN,GB,WR,4100,6.8
15314169,Chris Hogan,NYJ,BUF,WR,3400,5.4
15034387,Jordan Reed,SF,ARI,TE,3000,4.5
15033555,Zack Moss,BUF,NYJ,RB,4400,7.2
15033939,Tre'Quan Smith,NO,TB,WR,4000,6.5
15033603,Jerick McKinnon,SF,ARI,RB,4000,6.3
15034367,Nick Boyle,BAL,CLE,TE,3300,4.9
15034331,Greg Olsen,SEA,ATL,TE,4000,6.2
15034005,Cordarrelle Patterson,CHI,DET,WR,3400,5
15034333,Dawson Knox,BUF,NYJ,TE,3900,5.9
15033601,Nyheim Hines,IND,JAX,RB,4000,5.9
15034487,Foster Moreau,LV,CAR,TE,2500,3
15033931,Miles Boykin,BAL,CLE,WR,4100,6.1
15034335,Jimmy Graham,CHI,DET,TE,3800,5.4
15033561,AJ Dillon,GB,MIN,RB,4400,6.7
15033629,Brian Hill,ATL,SEA,RB,4000,5.8
15034337,C.J. Uzomah,CIN,LAC,TE,3800,5.4
15033923,Zach Pascal,IND,JAX,WR,4200,6.1
15033599,Rex Burkhead,NE,MIA,RB,4000,5.8
15034359,Will Dissly,SEA,ATL,TE,3400,4.4
15033583,LeSean McCoy,TB,NO,RB,4100,5.9
15033989,Andy Isabella,ARI,SF,WR,3600,4.7
15033511,David Montgomery,CHI,DET,RB,5900,9.2
15033921,John Ross III,CIN,LAC,WR,4200,5.8
15033573,Joshua Kelley,LAC,CIN,RB,4300,6
15033947,Willie Snead IV,BAL,CLE,WR,4000,5.3
15033975,Ted Ginn Jr.,CHI,DET,WR,3700,4.7
15034403,Josh Hill,NO,TB,TE,2800,2.9
15033645,Peyton Barber,WAS,PHI,RB,4000,5.4
15033983,Dante Pettis,SF,ARI,WR,3700,4.7
15033563,Chase Edmonds,ARI,SF,RB,4400,5.9
15034369,Jesse James,DET,CHI,TE,3200,3.5
15033903,Michael Pittman Jr.,IND,JAX,WR,4400,5.9
15033901,Brandon Aiyuk,SF,ARI,WR,4500,6.2
15033991,David Moore,SEA,ATL,WR,3600,4.3
15033701,Devontae Booker,LV,CAR,RB,4000,5
15033575,Alexander Mattison,MIN,GB,RB,4200,5.4
15034181,Braxton Berrios,NYJ,BUF,WR,3000,3.1
15033929,Phillip Dorsett II,SEA,ATL,WR,4200,5.5
15034355,Cole Kmet,CHI,DET,TE,3400,3.6
15033549,Carlos Hyde,SEA,ATL,RB,4600,6
15033927,Greg Ward,PHI,WAS,WR,4200,5
15034393,James O'Shaughnessy,JAX,IND,TE,3000,2.5
15033993,Isaiah Ford,MIA,NE,WR,3600,3.7
15034003,Jakobi Meyers,NE,MIA,WR,3500,3.5
15033961,Auden Tate,CIN,LAC,WR,3800,4
15033553,Adrian Peterson,DET,CHI,RB,4500,5.3
15033581,Jamaal Williams,GB,MIN,RB,4100,4.5
15034381,Marcedes Lewis,GB,MIN,TE,3000,2.3
15034405,Virgil Green,LAC,CIN,TE,2800,1.9
15034385,Dalton Keene,NE,MIA,TE,3000,2.3
15033957,Trent Taylor,SF,ARI,WR,3900,4
15034413,Chris Manhertz,CAR,LV,TE,2700,1.5
15033557,Giovani Bernard,CIN,LAC,RB,4400,4.9
15034417,Durham Smythe,MIA,NE,TE,2700,1.5
15034391,Cameron Brate,TB,NO,TE,3000,2.1
15034351,Dan Arnold,ARI,SF,TE,3500,2.9
15034399,Tyler Kroft,BUF,NYJ,TE,2800,1.5
15033679,Ty Johnson,DET,CHI,RB,4000,3.9
15034373,Drew Sample,CIN,LAC,TE,3100,2.1
15034371,Jason Witten,LV,CAR,TE,3200,2.3
15034395,Jaeden Graham,ATL,SEA,TE,2900,1.5
15033917,Rashard Higgins,CLE,BAL,WR,4300,4.4
15033955,Joe Reed,LAC,CIN,WR,3900,3.5
15033587,Frank Gore,NYJ,BUF,RB,4000,3.7
15033639,Kyle Juszczyk,SF,ARI,RB,4000,3.8
15034017,Quintez Cephus,DET,CHI,WR,3300,2.3
15034357,Ryan Griffin,NYJ,BUF,TE,3400,2.5
15033913,Jalen Reagor,PHI,WAS,WR,4300,4.2
15033953,JJ Arcega-Whiteside,PHI,WAS,WR,3900,3.5
15034343,David Njoku,CLE,BAL,TE,3600,2.8
15034051,Olamide Zaccheaus,ATL,SEA,WR,3000,1.4
15034421,Demetrius Harris,CHI,DET,TE,2600,0.6
15033543,Jalen Richard,LV,CAR,RB,4700,4.8
15034055,Brandon Powell,ATL,SEA,WR,3000,1.2
15314167,Luke Stocker,ATL,SEA,TE,2500,0.3
15033997,Equanimeous St. Brown,GB,MIN,WR,3500,2.3
15033617,J.D. McKissic,WAS,PHI,RB,4000,3.2
15033605,Gus Edwards,BAL,CLE,RB,4000,3.2
15034379,Maxx Williams,ARI,SF,TE,3100,1.2
15033763,DeeJay Dallas,SEA,ATL,RB,4000,2.9
15033877,Justin Jefferson,MIN,GB,WR,4800,4.5
15034353,Jeremy Sprinkle,WAS,PHI,TE,3500,1.6
15034049,Christian Blake,ATL,SEA,WR,3000,0.5
15033565,Justin Jackson,LAC,CIN,RB,4400,3.4
15034207,Trent Sherfield,ARI,SF,WR,3000,0.5
15034297,Chris Moore,BAL,CLE,WR,3000,0.5
15033641,Ryan Nall,CHI,DET,RB,4000,2.5
15034095,KhaDarel Hodge,CLE,BAL,WR,3000,0.5
15034021,KeeSean Johnson,ARI,SF,WR,3300,0.9
15034105,Jamal Agnew,DET,CHI,WR,3000,0.3
15034019,Deonte Harris,NO,TB,WR,3300,0.8
15034001,Chad Beebe,MIN,GB,WR,3500,1.1
15033611,La'Mical Perine,NYJ,BUF,RB,4000,2.1
15033637,Patrick Laird,MIA,NE,RB,4000,1.8
15033441,Taysom Hill,NO,TB,QB,4400,4.7
15033943,Antonio Gandy-Golden,WAS,PHI,WR,4000,1.8
15033985,Isaiah McKenzie,BUF,NYJ,WR,3600,0.9
15033677,Jason Huntley,PHI,WAS,RB,4000,1.5
15034011,Tyler Johnson,TB,NO,WR,3400,0.3
15033647,Qadree Ollison,ATL,SEA,RB,4000,1.5
15033911,Devin Duvernay,BAL,CLE,WR,4400,2.2
15033905,Tee Higgins,CIN,LAC,WR,4400,2.2
15033999,Zay Jones,LV,CAR,WR,3500,0.5
15034345,Jace Sternberger,GB,MIN,TE,3600,0.5
15033571,Ito Smith,ATL,SEA,RB,4300,1.8
15033589,Eno Benjamin,ARI,SF,RB,4000,1.1
15033627,Mike Davis,CAR,LV,RB,4000,1.1
15033769,Dare Ogunbowale,JAX,IND,RB,4000,1.1
15033797,Patrick Ricard,BAL,CLE,RB,4000,1
15033719,C.J. Ham,MIN,GB,RB,4000,1.1
15033507,Leonard Fournette,TB,NO,RB,6000,5
15033971,Seth Roberts,CAR,LV,WR,3800,0.6
15033963,Nelson Agholor,LV,CAR,WR,3800,0.5
15033965,Tajae Sharpe,MIN,GB,WR,3800,0.5
15033539,D'Andre Swift,DET,CHI,RB,4900,2.6
15033613,Travis Homer,SEA,ATL,RB,4000,0.8
15033631,Justice Hill,BAL,CLE,RB,4000,0.7
15033607,T.J. Yeldon,BUF,NYJ,RB,4000,0.6
15033665,Trayveon Williams,CIN,LAC,RB,4000,0.4
15033707,Alec Ingold,LV,CAR,RB,4000,0.4
15033729,Michael Burton,NO,TB,RB,4000,0.4
15033781,Alex Armah,CAR,LV,RB,4000,0.3
15033621,Dontrell Hilliard,CLE,BAL,RB,4000,0.4
15033577,Lynn Bowden Jr.,MIA,NE,RB,4200,0.2
15033919,Denzel Mims,NYJ,BUF,WR,4300,0
15033891,Dede Westbrook,JAX,IND,WR,4600,0.2
